,value,count
1136,cardiac pacemaker testers,1
1137,cardiospasm dilator,1
1138,cardiovascular,1
1139,cards,1
1140,carotte,1
1141,carton,1
1142,cartridge case,1
1143,coconut,1
1144,cod-piece,1
1145,coffee-pot,1
1146,disinfection,1
1147,dental plaque,1
1148,denture articulator,1
1149,dermatome,1
1150,designs,1
1151,diagrams,1
1152,diathermy set,1
1153,dilation,1
1154,diseases of affluence,1
1155,diseases of old age,1
1156,disinfectant,1
1157,disinfectant bottle,1
1158,dispenser,1
1159,coin purse,1
1160,divination-staff,1
1161,divining mirror,1
1162,dog collar,1
1163,donkey engine,1
1164,donor card,1
1165,door bolt,1
1166,douche,1
1167,drain,1
1168,drawing (image-making),1
1169,dressing case,1
1170,dressings,1
1171,dental impression tray,1
1172,dental descaler set,1
1173,deformity,1
1174,cyst,1
1175,collecting box,1
1176,comedo extractor,1
1177,commemorative plaque,1
1178,compendium instrument,1
1179,composing sticks,1
1180,computer component,1
1181,contraception,1
1182,convulsion,1
1183,cool box,1
1184,copy - derivative object,1
1185,core stone,1
1186,cosmetics,1
1187,cover - closure,1
1188,cow-bell,1
1189,cramp ring,1
1190,cremation,1
1191,crocodile,1
1192,crown of thorns,1
1193,crucible,1
1194,cryosurgery,1
1195,curling tong,1
1196,cylinder seal,1
1197,cylix,1
1198,broadsheet - notice,1
1199,breastplate - body armour,1
1200,points,1
1201,amulets,1
1202,actinotherapy,1
1203,acupuncture needle,1
1204,agate - chalcedony,1
1205,albarello,1
1206,albumen prints,1
1207,alms bowl,1
1208,amblyoscope,1
1209,ammeter - moving coil,1
1210,ammoniaphone,1
1211,amphibian remains,1
1212,ampulla,1
1213,amusement arcade machine,1
1214,academic gown hood,1
1215,anaesthetic syringe,1
1216,analytical balance,1
1217,anamorphic picture,1
1218,anamorphosis,1
1219,anastomosis button,1
1220,anatomical figure,1
1221,aneurysm,1
1222,anti-semitic,1
1223,antibody,1
1224,antigen,1
1225,antimony cup,1
1226,achondroplaisa,1
1227,abscess,1
1228,breast pump,1
1229,Making medicines,1
1230,<identifying card>,1
1231,Animals,1
1232,Aryan,1
1233,Ayurveda,1
1234,Black Death,1
1235,Daguerreotype,1
1236,Domestic Life & Household Management,1
1237,Esmarch bandage,1
1238,Fuel & Power,1
1239,Hand & Machine Tools,1
1240,Leyden jar,1
1241,Malaria: the persistence of disease,1
1242,Unani Tibb,1
1243,"Medical practice, ethics and belief",1
1244,Medicine in China today,1
1245,Medicine in India today,1
1246,Mental institutions,1
1247,Mesmerism,1
1248,Nursing and Hospital Care,1
1249,Ottoman empire,1
1250,Pott's disease,1
1251,Royalty,1
1252,Smallpox: inoculation and vaccination,1
1253,Traditional Chinese Medicine,1
1254,antique firearm,1
1255,antiseptic machine,1
1256,aquatints,1
1257,blistering,1
1258,benign,1
1259,bicycle chain,1
1260,bifocals,1
1261,bill-head,1
1262,binoculars,1
1263,biopsy,1
1264,biopsy needle,1
1265,bird,1
1266,birth cannon,1
1267,black-and-white photograph,1
1268,bladder,1
1269,blood (animal material),1
1270,arm,1
1271,blood donation,1
1272,blood-grouping tile,1
1273,board,1
1274,body piercing object,1
1275,bone graft,1
1276,boot,1
1277,boric lint,1
1278,bow drill,1
1279,bracket - hardware,1
1280,bradawl,1
1281,breast form,1
1282,bed cycle,1
1283,beamscale,1
1284,battery,1
1285,bas-relief,1
1286,armrest,1
1287,arrow forceps,1
1288,artery,1
1289,artificial acetabular cup,1
1290,artificial arm,1
1291,artificial heart,1
1292,artificial heart valve,1
1293,artificial leg,1
1294,astrolabe,1
1295,astronomical chart,1
1296,atomizer,1
1297,autoclave,1
1298,awl,1
1299,baby carrier,1
1300,back scratcher,1
1301,bacteria,1
1302,baldness,1
1303,ball-point pens,1
1304,bandage applicator,1
1305,bandolier bag,1
1306,barber's chair,1
1307,barber-surgeon,1
1308,barrel - container,1
1309,dried frog,1
1310,drill bit - tool component,1
1311,drinking horn,1
1312,medical alert card,1
1313,lumbago,1
1314,malingering,1
1315,mandrake root,1
1316,manikin,1
1317,manuals,1
1318,manuscript - document genre,1
1319,maps,1
1320,mastectomy,1
1321,mauls,1
1322,measure - volume,1
1323,measurement,1
1324,medical jurisprudence,1
1325,log book,1
1326,medicine measure,1
1327,memorial head,1
1328,metallic arc,1
1329,micro-organism,1
1330,microscopy,1
1331,midwife,1
1332,mirrors,1
1333,miscarriage,1
1334,mitral valve,1
1335,models (representations),1
1336,monitors (data processing equipment),1
1337,lug - knob,1
1338,lodestone,1
1339,drinking vessel,1
1340,leech cage,1
1341,kyphosis,1
1342,laminaria tent,1
1343,laminaria tent introducer,1
1344,lance,1
1345,lantern - lighting device,1
1346,laryngeal syringe,1
1347,laryngoscope,1
1348,lathe - machine,1
1349,laxative,1
1350,leaflet,1
1351,leech box,1
1352,leech tube,1
1353,liver retractor,1
1354,leg,1
1355,lens,1
1356,leper clapper,1
1357,letterpress printing,1
1358,libation table,1
1359,light bath,1
1360,linecasting,1
1361,lithographs,1
1362,lithotomy crutch,1
1363,lithotrity,1
1364,lithotrity instrument set,1
1365,mortar board,1
1366,moxibustion,1
1367,mummified human body,1
1368,phrenological head,1
1369,painting - visual work,1
